"","V1","V2","V3","V4","V5"
"1",1e-04,0.0878610035490769,0.221737206007607,0.306550001086226,0.36771953918234
"2",0,0,0,0,0
"3",1e-04,1e-04,0.0618717050632786,0.174668359786914,0.262743167808937
"4",0.227551422399946,0.199052900494826,0.171355905831167,0.154766348843815,0.141327835180353
"5",0.239240651398735,0.238997803312761,0.212976269011261,0.193669280481699,0.182459693109011
"6",0.227387706795406,0.227387706795406,0.202100509075823,0.17955231626212,0.161962385785197
"7",0,0.000207827310127154,0.00481659816989025,0.00295158802803225,0.00897461824922996
"8",0,0,0.0788829768699063,0.150701216639126,0.206749153502565
"9",0,0,0.0149600525591726,0.0109033922358169,0.0107782365984102
"10",0.226890769230769,0.199094465956851,0.172319225465145,0.155356666449421,0.143122758830199
"11",0.238461538461538,0.238461538461538,0.238461538461538,0.238461538461538,0.238461538461538
"12",0.226890769230769,0.226890769230769,0.20693375682571,0.181732994709284,0.164118033104879
"13",-364.094550024454,22.9072664732258,530.897973440548,325.331706578593,989.205757437571
"14",-429.379268157442,-295.542530951642,14045.2633025507,24685.5956720435,30863.3449977676
"15",-273.868752059458,-273.868752059458,2663.66566718321,1201.80024105155,1188.00526129191
